t,P_p_bar
4.083881212864071131e-04,6.328251813256226160e+04
4.092154849786311388e-04,6.281692348532032338e+04
4.108757129870355129e-04,6.188269947295516613e+04
4.117086355108767748e-04,6.141404153048805892e+04
4.125434788875281811e-04,6.549964999832736794e+04
4.133802722208201885e-04,6.505167811796753085e+04
4.142190155107527971e-04,6.460245463590157306e+04
4.159024974796921015e-04,6.370019972672579024e+04
4.167472652625292540e-04,6.324730477720059571e+04
4.175940994173288345e-04,6.279297106944191910e+04
4.184429999440908432e-04,6.233733942227947409e+04
4.192940250504761934e-04,6.188050249549575528e+04
4.201471456326544285e-04,6.365291482430081669e+04
4.218595568090677261e-04,6.387174344787743757e+04
4.227188474033027887e-04,6.342711192520123586e+04
4.235802625771611929e-04,6.298124352658388671e+04
4.244437732268124819e-04,6.253444726849587460e+04
4.253094666637480259e-04,6.208653577955043147e+04
4.261773137841373682e-04,6.163770367038548284e+04
4.279196436982601881e-04,6.616408267374042771e+04
4.287942138034850359e-04,6.573972471093265631e+04
4.296711122151464224e-04,6.531365549946740794e+04
4.305503680370748043e-04,6.488594642923670472e+04
4.314329125918447971e-04,6.445627815747602290e+04
4.323187458794564009e-04,6.402473224473417213e+04
4.332079261075705290e-04,6.359124138253479032e+04
4.349965602159500122e-04,6.271861049806009396e+04
4.358961596153676510e-04,6.227944379009200929e+04
4.367993387859314680e-04,6.183833544667828392e+04
4.377061850391328335e-04,6.139554524163673341e+04
4.386166983749717474e-04,6.095077104606997455e+04
4.395309078972786665e-04,6.050427046029392659e+04
4.404489009175449610e-04,6.005617434251627128e+04
4.413706774357706308e-04,5.960650521953338466e+04
4.422962956596165895e-04,5.915521506371034047e+04
4.432259884197264910e-04,5.870233782410808635e+04
4.441601631697267294e-04,5.824761797034825577e+04
4.450989363249391317e-04,5.779107994122615492e+04
4.469905106816440821e-04,6.174793600866506313e+04
4.479433700907975435e-04,6.130357543463011098e+04
4.489010316319763660e-04,6.085701490085637488e+04
4.498634370975196362e-04,6.040823901790472883e+04
4.508307029027491808e-04,5.995722476574042230e+04
4.518027708400040865e-04,5.950410293031774199e+04
4.527797282207757235e-04,5.904892298623195529e+04
4.537615750450640917e-04,5.859174082095850463e+04
4.547483113128691912e-04,5.813275294444740575e+04
4.557400243356823921e-04,5.767191339042352047e+04
4.567367141135036945e-04,6.188423197084501589e+04
4.577383806463330984e-04,6.143831319420284126e+04
4.587451112456619740e-04,6.098985136516566126e+04
4.597569350153207779e-04,6.053899762598745292e+04
4.607738810591399670e-04,6.008589471576379583e+04
4.617960075847804546e-04,5.963057629101086059e+04
4.628234601113945246e-04,5.917296181020490621e+04
4.638545215129852295e-04,5.871409471830337861e+04
4.648879112210124731e-04,5.825462867802358960e+04
4.659236583393067122e-04,5.779459517185699951e+04
4.669618210755288601e-04,5.733396647907824808e+04
4.680024576373398304e-04,5.891432252351720672e+04
4.690455389209091663e-04,6.334338106700303615e+04
4.700911813415586948e-04,6.291102178587936214e+04
4.711394140031188726e-04,6.247719465094400948e+04
4.721902369055896997e-04,6.204190998225778458e+04
4.732437373604625463e-04,6.160511253841867438e+04
4.743001481983810663e-04,6.116695535697626474e+04
4.753594985231757164e-04,6.072745778597419121e+04
4.764219047501683235e-04,6.028685764359820314e+04
4.774873668793588877e-04,5.984515100402449025e+04
4.785560013260692358e-04,5.940237047986094694e+04
4.796278080902993679e-04,5.895845181238379882e+04
4.807029035873711109e-04,5.851366322566442977e+04
4.817812878172844648e-04,5.806792473950861313e+04
4.828629607800394297e-04,5.762141061365521455e+04
4.839479806832969189e-04,5.717421188621170586e+04
4.850362020079046488e-04,5.672652906737396552e+04
4.861275956500321627e-04,5.627834046733610012e+04
4.872221907135099173e-04,5.830230847703777545e+04
4.883198998868465424e-04,5.786033284156589070e+04
4.894206649623811245e-04,5.741761871895211516e+04
4.905246314592659473e-04,5.697443152896733955e+04
4.916317993775010109e-04,5.653078904251964559e+04
4.927426925860345364e-04,5.608651184765080689e+04
4.938573110848665237e-04,5.564168142157741386e+04
4.949756548739969730e-04,5.519641814273274213e+04
4.960979567840695381e-04,5.475058532143411139e+04
4.972242168150842190e-04,5.430432208143543539e+04
4.983544931747019291e-04,5.484417492162066628e+04
4.994887858629226685e-04,5.439899392913524935e+04
5.006272112950682640e-04,5.395361158849719504e+04
5.017697694711387157e-04,5.350809772878992226e+04
5.029165768064558506e-04,5.306235941913376882e+04
5.040674586780369282e-04,5.261675966410020192e+04
5.052222404628992081e-04,5.413123187736257387e+04
5.063812131993472576e-04,5.368792870168761874e+04
5.075443768873810768e-04,5.324453349121833890e+04
5.087118479423224926e-04,5.280090206364456390e+04
5.098836263641715050e-04,5.524067036391248985e+04
5.110591882839798927e-04,5.480121261627182685e+04
5.122385337017476559e-04,5.436135529113554367e+04
5.134217208251357079e-04,5.392132160229449801e+04
5.146087496541440487e-04,5.348133262116190599e+04
5.157996201887726784e-04,5.304142141015507514e+04
5.169944488443434238e-04,5.260157305840968911e+04
5.181932938285171986e-04,5.216179970134433825e+04
5.193963297642767429e-04,5.172220739897475141e+04
5.206036730669438839e-04,5.128260372376792657e+04
5.218153237365186214e-04,5.084331177126286639e+04
5.230313981883227825e-04,5.040438693025642715e+04
5.242518964223563671e-04,4.996573034236406238e+04
5.254768184386193752e-04,4.952756171558723145e+04
5.267062224447727203e-04,4.908987177600006544e+04
5.279401666484773159e-04,4.865283246697187133e+04
5.291786510497331619e-04,4.821645423448018846e+04
5.304217920638620853e-04,4.778076322591656208e+04
5.316695896908640862e-04,5.339646635878230154e+04
5.329220439307391644e-04,5.520689839794269938e+04
5.341793294064700603e-04,5.477690504079515813e+04
5.354413879103958607e-04,5.434628332227656210e+04
5.367082776501774788e-04,5.391517376101416448e+04
5.379801150411367416e-04,5.348364878235197102e+04
5.392569582909345627e-04,5.305175703086048452e+04
5.405388656072318554e-04,5.261980715512991446e+04
5.418255459517240524e-04,5.218780494689504121e+04
