t,R_s
4.828629607800394297e-04,8.035977056410305019e-01
4.839479806832969189e-04,8.044651777183433605e-01
4.850362020079046488e-04,8.053361904980128605e-01
4.861275956500321627e-04,8.061600613548803862e-01
4.872221907135099173e-04,8.070396729831295080e-01
4.883198998868465424e-04,8.079243427576020542e-01
4.894206649623811245e-04,8.087223159058055666e-01
4.905246314592659473e-04,8.095765356400134172e-01
4.916317993775010109e-04,8.104353077058221722e-01
4.927426925860345364e-04,8.113447623967894318e-01
4.938573110848665237e-04,8.121563925397961015e-01
4.949756548739969730e-04,8.129720691997815996e-01
4.960979567840695381e-04,8.138369110410584861e-01
4.972242168150842190e-04,8.147559762098501857e-01
4.983544931747019291e-04,8.156375099336641288e-01
4.994887858629226685e-04,8.164708901054316126e-01
5.006272112950682640e-04,8.173579877900916113e-01
5.017697694711387157e-04,8.182471087332405801e-01
5.029165768064558506e-04,8.190865586804760845e-01
5.040674586780369282e-04,8.199214562961103514e-01
5.052222404628992081e-04,8.207401678438298598e-01
5.063812131993472576e-04,8.216034922412398522e-01
5.075443768873810768e-04,8.224597352339368950e-01
5.087118479423224926e-04,8.232572025675179983e-01
5.098836263641715050e-04,8.240566931595885158e-01
5.110591882839798927e-04,8.249033256744612297e-01
5.122385337017476559e-04,8.257454058577329281e-01
5.134217208251357079e-04,8.265469197082927488e-01
5.146087496541440487e-04,8.274097382910802212e-01
5.157996201887726784e-04,8.282821673516922445e-01
5.169944488443434238e-04,8.292103371836860859e-01
5.181932938285171986e-04,8.300457406139427619e-01
5.193963297642767429e-04,8.309313208547355334e-01
5.206036730669438839e-04,8.317175591037008209e-01
5.218153237365186214e-04,8.326031393444937034e-01
5.230313981883227825e-04,8.333974706274164257e-01
5.242518964223563671e-04,8.342424845354975416e-01
5.254768184386193752e-04,8.351011554383818147e-01
5.267062224447727203e-04,8.359364577057140089e-01
5.279401666484773159e-04,8.367924983725623100e-01
5.291786510497331619e-04,8.376155599260337592e-01
5.304217920638620853e-04,8.385465623199126473e-01
5.316695896908640862e-04,8.394917275232171017e-01
5.329220439307391644e-04,8.403983496522994256e-01
5.341793294064700603e-04,8.413105357422272501e-01
5.354413879103958607e-04,8.422313206807349184e-01
5.367082776501774788e-04,8.431637393555564408e-01
5.379801150411367416e-04,8.441108266544259386e-01
5.392569582909345627e-04,8.450599372117846286e-01
5.405388656072318554e-04,8.460551780627006968e-01
5.418255459517240524e-04,8.469616990288583169e-01
