t,R_c
4.218595568090677261e-04,6.982793117246899328e-01
4.227188474033027887e-04,6.982793117246899328e-01
4.235802625771611929e-04,6.982793117246899328e-01
4.244437732268124819e-04,6.982793117246899328e-01
4.253094666637480259e-04,6.982793117246899328e-01
4.261773137841373682e-04,6.982793117246899328e-01
4.279196436982601881e-04,7.082833133253301217e-01
4.287942138034850359e-04,7.082833133253301217e-01
4.296711122151464224e-04,7.082833133253301217e-01
4.305503680370748043e-04,7.082833133253301217e-01
4.314329125918447971e-04,7.082833133253301217e-01
4.323187458794564009e-04,7.082833133253301217e-01
4.332079261075705290e-04,7.082833133253301217e-01
4.349965602159500122e-04,7.082833133253301217e-01
4.358961596153676510e-04,7.082833133253301217e-01
4.367993387859314680e-04,7.082833133253301217e-01
4.377061850391328335e-04,7.082833133253301217e-01
4.386166983749717474e-04,7.082833133253301217e-01
4.395309078972786665e-04,7.082833133253301217e-01
4.404489009175449610e-04,7.082833133253301217e-01
4.413706774357706308e-04,7.082833133253301217e-01
4.422962956596165895e-04,7.082833133253301217e-01
4.432259884197264910e-04,7.082833133253301217e-01
4.441601631697267294e-04,7.082833133253301217e-01
4.450989363249391317e-04,7.082833133253301217e-01
4.469905106816440821e-04,7.172869147659063360e-01
4.479433700907975435e-04,7.172869147659063360e-01
4.489010316319763660e-04,7.172869147659063360e-01
4.498634370975196362e-04,7.172869147659063360e-01
4.508307029027491808e-04,7.172869147659063360e-01
4.518027708400040865e-04,7.172869147659063360e-01
4.527797282207757235e-04,7.172869147659063360e-01
4.537615750450640917e-04,7.172869147659063360e-01
4.547483113128691912e-04,7.172869147659063360e-01
4.557400243356823921e-04,7.172869147659063360e-01
4.567367141135036945e-04,7.262905162064826614e-01
4.577383806463330984e-04,7.262905162064826614e-01
4.587451112456619740e-04,7.262905162064826614e-01
4.597569350153207779e-04,7.262905162064826614e-01
4.607738810591399670e-04,7.262905162064826614e-01
4.617960075847804546e-04,7.262905162064826614e-01
4.628234601113945246e-04,7.262905162064826614e-01
4.638545215129852295e-04,7.262905162064826614e-01
4.648879112210124731e-04,7.262905162064826614e-01
4.659236583393067122e-04,7.262905162064826614e-01
4.669618210755288601e-04,7.262905162064826614e-01
4.680024576373398304e-04,7.302921168467386703e-01
4.690455389209091663e-04,7.402961184473789702e-01
4.700911813415586948e-04,7.402961184473789702e-01
4.711394140031188726e-04,7.402961184473789702e-01
4.721902369055896997e-04,7.402961184473789702e-01
4.732437373604625463e-04,7.402961184473789702e-01
4.743001481983810663e-04,7.402961184473789702e-01
4.753594985231757164e-04,7.402961184473789702e-01
4.764219047501683235e-04,7.402961184473789702e-01
4.774873668793588877e-04,7.402961184473789702e-01
4.785560013260692358e-04,7.402961184473789702e-01
4.796278080902993679e-04,7.402961184473789702e-01
4.807029035873711109e-04,7.402961184473789702e-01
4.817812878172844648e-04,7.402961184473789702e-01
4.828629607800394297e-04,7.402961184473789702e-01
4.839479806832969189e-04,7.402961184473789702e-01
4.850362020079046488e-04,7.402961184473789702e-01
4.861275956500321627e-04,7.402961184473789702e-01
4.872221907135099173e-04,7.452981192476990646e-01
4.883198998868465424e-04,7.452981192476990646e-01
4.894206649623811245e-04,7.452981192476990646e-01
4.905246314592659473e-04,7.452981192476990646e-01
4.916317993775010109e-04,7.452981192476990646e-01
4.927426925860345364e-04,7.452981192476990646e-01
4.938573110848665237e-04,7.452981192476990646e-01
4.949756548739969730e-04,7.452981192476990646e-01
4.960979567840695381e-04,7.452981192476990646e-01
4.972242168150842190e-04,7.452981192476990646e-01
4.983544931747019291e-04,7.472989195678271246e-01
4.994887858629226685e-04,7.472989195678271246e-01
5.006272112950682640e-04,7.472989195678271246e-01
5.017697694711387157e-04,7.472989195678271246e-01
5.029165768064558506e-04,7.472989195678271246e-01
5.040674586780369282e-04,7.472989195678271246e-01
5.052222404628992081e-04,7.513005202080832445e-01
5.063812131993472576e-04,7.513005202080832445e-01
5.075443768873810768e-04,7.513005202080832445e-01
5.087118479423224926e-04,7.513005202080832445e-01
